"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1142",0.249036910739987,0.0327498315649704,-0.423465146383817,-0.356992997487585
"CGGA_1144",-0.627353855952453,-0.161606623127804,-0.22876307687886,-0.260807749494228
"CGGA_1147",-0.776906840343187,-0.254107893157185,-0.383317463207434,-0.074391187267302
"CGGA_1148",0.51920421527433,0.165738890128169,0.345235870814241,0.260896606711733
"CGGA_1152",0.596553073225813,0.184000307938785,0.134376241327297,-0.0368239858724933
"CGGA_1154",0.0772126374079607,0.400827254439729,0.363346947489909,0.581251422166508
"CGGA_1155",-0.40635186474383,-0.210433066295462,-0.404712151897768,-0.483000106082467
"CGGA_1156",0.152068230754272,0.596555269537666,0.413778672288215,0.3389696480002
"CGGA_1157",0.0403174174013132,-0.205352462522059,-0.368462346017269,-0.482230123761385
"CGGA_1158",-0.699203310120663,0.217425217078149,-0.308062843916903,-0.0175745182700778
"CGGA_1159",-0.379322110417519,0.142031540259992,0.108078104829966,-0.514719228858132
"CGGA_1161",-0.621669386047259,-0.310935999854593,-0.200249667022879,-0.55176569898826
"CGGA_1162",-0.447066590782797,-0.576221557901527,-0.477627252711653,-0.607583143886899
"CGGA_1164",-0.694536015625546,-0.146312081230818,-0.396866395267692,-0.360801407382209
"CGGA_1169",-0.569099369365908,0.138007108528437,0.187859419876487,0.553911035783132
"CGGA_1172",0.417555090866928,0.658815674990604,0.430990184488579,0.420982344980509
"CGGA_1178",-0.695788937056865,0.102354876999506,-0.100572561875637,-0.0293607480896313
"CGGA_1181",0.176951396703721,0.287812006779387,0.0965528279034513,0.0859805619281799
"CGGA_1183",0.0254242588426936,-0.255253971215885,-0.231596188482588,0.0823349421604592
"CGGA_1184",-0.227571820917479,0.515135901672105,0.301818442029555,-0.279858064469964
"CGGA_1185",0.137716195852829,-0.197277047566148,-0.298685563897477,0.0686035016844611
"CGGA_1191",-0.755337136847117,-0.468807721748492,-0.584100943398977,-0.530934277466447
"CGGA_1192",-0.33324933764857,0.381211948850723,0.372515940407015,0.341193626793686
"CGGA_1195",-0.249534504228982,-0.455651042189999,-0.472214476664314,-0.375604087625328
"CGGA_1198",-0.590724662724244,-0.699898709482348,-0.64494907723604,-0.608023174370938
"CGGA_120",0.489991110339076,-0.308035533201931,0.00909460563325801,-0.0496488851952388
"CGGA_1204",-0.828393164376981,-0.104498558524347,-0.403842072913402,-0.100809395831744
"CGGA_1205",-0.507653243601135,-0.518442494725503,-0.57748402153631,-0.4725253511519
"CGGA_1207",-0.522690345030154,-0.438634579937568,-0.386261565612879,-0.475896954336508
"CGGA_1208",0.508929940261714,0.405964844363655,0.431560373178257,0.513628002150469
"CGGA_1211",-0.488388677848594,0.4370029874835,0.214733476248489,0.29746298253308
"CGGA_1212",-0.578183334879598,0.422932494127851,0.163193384757349,0.417092215396349
"CGGA_1223",-0.332556751657009,-0.286095536418899,-0.466835112914903,-0.407087156769223
"CGGA_1226",-0.169681953164586,-0.272050581764815,-0.0134333553099138,0.345572427525612
"CGGA_1228",-0.130522879495818,-0.420990204336695,-0.366043834222268,-0.0463692135959546
"CGGA_1232",-0.732057213921051,0.281884127002359,0.24842263476735,-0.0420833527837992
"CGGA_1235",-0.378390203885654,0.191836028133202,0.216359399410484,0.272768059852849
"CGGA_1236",-0.613789202603858,-0.114846432350014,-0.144396582903936,0.11923073983326
"CGGA_1238",0.365109907772878,0.147202402314628,0.198346201628723,0.463287323122562
"CGGA_1239",-0.805292537982872,-0.00909614775291293,-0.296078356652506,0.0111690577763402
"CGGA_1248",0.325107521071443,-0.429890377470121,-0.168612459960991,0.0970143558939726
"CGGA_1255",0.485371627828142,0.190494716471913,-0.0793036798857968,0.0887394560063996
"CGGA_1256",-0.0677641391656054,-0.580443531885336,-0.45209990718216,-0.507511762641864
"CGGA_1257",0.0203526213918016,0.112093880560247,0.259789098858898,0.283680143878804
"CGGA_1260",0.262074941471851,-0.154078920724938,-0.0786916706675644,-0.252218822678563
"CGGA_1262",0.185735000729067,-0.412989700061014,-0.357712108448753,-0.234768088760668
"CGGA_1264",-0.647690931920734,0.110804213007031,0.105580948670472,0.257184725146093
"CGGA_1269",-0.623439156384551,-0.369621441338055,-0.423880352856978,-0.231087566679143
"CGGA_1273",-0.751415500636079,-0.0729655445636596,-0.453587058383617,-0.381687452726597
"CGGA_1282",-0.187918377688747,0.293964915722156,-0.288153106546149,-0.122099999427226
"CGGA_1286",-0.455703552810551,0.0843786567860371,-0.160742328040832,-0.366616965452694
"CGGA_1291",-0.609045480319788,-0.625560622811436,-0.635155561433925,-0.617546902038447
"CGGA_1295",0.436823750718391,0.588458550012224,0.427595868228926,0.552165355543995
"CGGA_1300",-0.40541789944635,0.457624839295625,0.381814607721775,0.43376781585087
"CGGA_1303",-0.734755638149066,-0.59227367228822,-0.591884234490101,-0.465681674263611
"CGGA_1305",-0.335737902195279,-0.0973240706165815,0.113260866891549,0.0621995342928831
"CGGA_1309",-0.457149358658831,-0.650716315374126,-0.69182101354641,-0.696261092256943
"CGGA_1311",-0.703233421334642,-0.505259938925545,-0.52171349725205,-0.274945400837135
"CGGA_1317",-0.80612809815939,-0.603453918141626,-0.664982677082069,-0.553342057842064
"CGGA_1318",0.43396347383826,0.565468167355474,0.314317042554588,0.202897870428054
"CGGA_1319",-0.710480591585336,-0.506539215216911,-0.541430619811929,-0.38469478654693
"CGGA_1321",-0.643428587686514,0.084223275939881,-0.508829635150991,-0.400670958419335
"CGGA_1325",-0.450289915424958,-0.395913711358467,-0.45951102533105,-0.389035438389123
"CGGA_1326",0.5236983945363,0.0133022693827294,0.205927318145107,-0.0295539106119771
"CGGA_1334",0.146378039581337,0.472816395419883,0.353481884860558,0.18942267310229
"CGGA_1335",-0.630564261345118,-0.10066369768258,-0.00194997642013614,-0.361568457096424
"CGGA_1337",0.335090029834111,-0.521353043148578,-0.341634905999716,-0.232097822716569
"CGGA_1339",-0.634020397932449,-0.393439718663918,-0.379004639304842,0.0234941196918015
"CGGA_1345",0.696416116770067,-0.0986541501811238,0.159267085603048,0.261280223791184
"CGGA_135",0.597808245831077,0.668199367365947,0.566190184795668,0.624199848396566
"CGGA_1350",-0.742038954430712,-0.678013286449543,-0.655644764909354,-0.495638357314033
"CGGA_1353",0.619398244110686,0.35264567297332,0.333477471769972,0.586017307329867
"CGGA_1354",0.16628772619264,0.133816692324953,0.121599630678727,-0.175773278718751
"CGGA_1356",-0.710648057074063,0.357320544876489,0.12185108071793,-0.144919898556813
"CGGA_1359",0.543159029091495,0.274869294752495,0.171955069406875,0.153353910071238
"CGGA_1361",-0.182443796052696,0.286617047064545,-0.134554481235921,0.370190978730641
"CGGA_1362",-0.390903826754403,0.19145902601327,0.13975016393263,0.576996693060894
"CGGA_1365",-0.0674141526350687,-0.461008297388889,-0.443498211119508,-0.48498818848191
"CGGA_1368",-0.826194500474997,-0.707644749236652,-0.684166637474416,-0.536822085846595
"CGGA_1369",-0.584339275863036,-0.410183424037105,-0.285377491298841,-0.388350102139012
"CGGA_1371",0.567866395564437,-0.228716584908753,-0.172490183719941,-0.469292477958784
"CGGA_1377",-0.499767557664342,0.342527384633952,0.316913470209834,0.553888343582268
"CGGA_1378",-0.514840650314879,-0.537939330939137,-0.509724981822455,-0.589292123021796
